Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
N100,8/20/07,963.02002,968.030029,959.960022,961.090027,961.090027,305373700,1172.529833
N100,8/21/07,964.109985,967.630005,952.390015,962.919983,962.919983,293047300,1174.762379
N100,8/22/07,967.599976,982.130005,967.340027,979.809998,979.809998,304452000,1195.368198
N100,8/23/07,989.330017,993.130005,981.440002,981.440002,981.440002,280570000,1197.3568024400001
GSPTSE,11/10/89,3931.300049,3943.699951,3931.300049,3943.699951,3933.685059,29840000,3273.270959
GSPTSE,11/13/89,3948,3949.699951,3943,3949.699951,3939.669922,23350000,3278.250959
GSPTSE,11/14/89,3946.300049,3947.800049,3939.5,3943.100098,3933.08667,15150000,3272.773081
GSPTSE,11/15/89,3946.899902,3969.600098,3946.699951,3968.699951,3958.621582,32280000,3294.020959
GSPTSE,11/16/89,3970,3970,3944.699951,3946,3935.979492,24970000,3275.18
GSPTSE,11/17/89,3960.100098,3960.600098,3952.600098,3957.600098,3947.550049,25240000,3284.8080813399997
GSPTSE,11/20/89,3957.600098,3958.899902,3944.399902,3947.5,3937.475342,15000000,3276.4249999999997
GSPTSE,11/21/89,3944.100098,3944.399902,3925.600098,3933.600098,3923.61084,26350000,3264.8880813399996
GSPTSE,11/22/89,3935,3936.899902,3915.800049,3920.600098,3910.643799,34450000,3254.0980813399997
NSEI,12/21/09,4983.649902,4997.850098,4943.950195,4952.600098,4952.600098,0,49.52600098
NSEI,12/22/09,4953.350098,4997.299805,4953.350098,4985.850098,4985.850098,0,49.85850098
NSEI,1/4/10,5200.899902,5238.450195,5167.100098,5232.200195,5232.200195,0,52.32200195000001
NSEI,1/5/10,5277.149902,5288.350098,5242.399902,5277.899902,5277.899902,0,52.77899902
NSEI,1/6/10,5278.149902,5310.850098,5260.049805,5281.799805,5281.799805,0,52.81799805
NSEI,1/7/10,5281.799805,5302.549805,5244.75,5263.100098,5263.100098,0,52.63100098
NSEI,1/8/10,5264.25,5276.75,5234.700195,5244.75,5244.75,0,52.4475
NSEI,1/11/10,5263.799805,5287.200195,5227.799805,5249.399902,5249.399902,0,52.493999020000004
GDAXI,3/17/00,7594.990234,7834.540039,7574.52002,7710.919922,7710.919922,510195600,9407.322305
GDAXI,3/20/00,7716.240234,7887.970215,7716.240234,7872.379883,7872.379883,36561300,9604.303457259999
GDAXI,3/21/00,7865.47998,7865.47998,7735.740234,7807.930176,7807.930176,36723000,9525.674815
GDAXI,3/22/00,7827.560059,7949.720215,7787.089844,7798.620117,7798.620117,42040400,9514.316543
GDAXI,3/23/00,7803.689941,7873.029785,7677.080078,7694.779785,7694.779785,35765700,9387.631337699999
GDAXI,3/24/00,7706.5,7932.419922,7706.5,7932.419922,7932.419922,37364200,9677.552305
GDAXI,3/27/00,7932.709961,7939.919922,7832.060059,7892.490234,7892.490234,27355300,9628.838085
GDAXI,3/28/00,7891.149902,8031.209961,7880.120117,7931.930176,7931.930176,36665900,9676.954815
GDAXI,3/29/00,7930.819824,7963.700195,7859.439941,7864.759766,7864.759766,34020800,9595.006915
SSMI,11/27/95,3221.600098,3252,3221.600098,3251,3251,0,3608.61
